"postId","title","description","location","salary","experience","typeOfWork","companyId","companyName","cityName","industryNames","createDate","expireDate","logo"
"021cdfc8-5464-4b4d-b119-b3b9f153fb8b","Nhân viên theo dõi vận chuyển","Theo dõi trạng thái đơn hàng theo từng chặng, cập nhật tiến độ giao đến khách hàng, làm việc chặt chẽ với đối tác vận chuyển và tổng hợp báo cáo giao hàng mỗi ngày.","Tòa nhà VTV số 8 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội","12000000","Không yêu cầu","Toàn thời gian","3533ca8e-633e-4fe5-82a6-0ea5c269c110","CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM","Hà Nội","Tài xế","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743842550/144310892_Logo_eiil1e.png"
"0335b26b-cff8-46a7-b9f9-c139de0343a4","Nhân viên quản lý kho hàng","Thực hiện kiểm kê định kỳ, bố trí hàng hóa trong kho hợp lý, xử lý các thủ tục nhập kho và xuất kho theo quy trình nội bộ và hướng dẫn của quản lý.","Số nhà 54 ngõ 120 tổ 31 đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Thành phố Hà Nội","15000000","1 năm","Toàn thời gian","2593a801-fc19-45c0-ad89-7fb5c7de1655","CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ OSB","Hà Nội","Logistics","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743824631/images_gtfojq.png"
"0374619c-b7b1-4f34-862e-321f6bbf5e9a","Nhân viên chứng từ xuất nhập khẩu","Chuẩn bị hồ sơ xuất khẩu, xử lý chứng từ thương mại, làm việc cùng bộ phận giao nhận và đảm bảo thông quan hàng hóa diễn ra đúng tiến độ.","Tòa nhà VTV số 8 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội","13500000","1 năm","Toàn thời gian","3533ca8e-633e-4fe5-82a6-0ea5c269c110","CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM","Hà Nội","Logistics","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743842550/144310892_Logo_eiil1e.png"
"05c592f7-6ac1-4bec-99f8-e789a1457aff","Nhân Viên Chứng Từ Khai Báo Hải Quan","Làm việc và liên hệ trực tiếp với khách hàng, tư vấn thủ tục hải quan, chính sách chuyên ngành, các giải pháp logistics tối ưu tới khách hàng; Khai báo hải quan, chuẩn bị hồ sơ cần thiết cho lô hàng xuất/ nhập khẩu (CO, hun trùng, kiểm dịch, kiểm tra chất lượng,…); Làm việc với nhà máy sản xuất xuất khẩu/ gia công/ chế xuất để lên và theo dõi định mức, khai báo, thanh khoản hợp đồng, báo cáo quyết toán; Sắp xếp, lên kế hoạch, theo dõi quá trình xuất/ nhập khẩu lô hàng Thực hiện các công việc khác được phân công.","Tòa nhà GIC 156 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh","13500000","1 năm","Toàn thời gian","c51511fa-d625-4e7c-8c24-84192497a9ef","CÔNG TY TNHH MỘT THÀNH VIÊN XUẤT NHẬP KHẨU THỦY SẢN NGHI SƠN","Thành phố Hồ Chí Minh","Logistics","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743823898/t%E1%BA%A3i_xu%E1%BB%91ng_2_njybn3.png"
"06a039b3-12e6-11f0-8a60-0a0027000011","Kỹ sư triển khai hệ thống mạng không dây 5G","Triển khai thiết bị truyền dẫn 5G tại thực địa, đo kiểm chất lượng mạng, xử lý các vấn đề kỹ thuật và phối hợp cùng đội ngũ dự án để đảm bảo tiến độ và hiệu suất tối ưu.","Elcom Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội","28000000","2 năm","Toàn thời gian","8b174563-694f-4165-93ff-175bec4861a9","CÔNG TY CỔ PHẦN CÔNG NGHỆ - VIỄN THÔNG ELCOM","Hà Nội","IT phần cứng | Viễn thông","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743756293/elcom-technology-logo-png_seeklogo-351878_vxwq4r.png"
"070f8ff9-9816-4a96-ab22-e12adc2edaed","Nhân Viên Chứng Từ Giao Nhận Hải Quan","Chịu trách nhiệm làm và xử lý các chứng từ xuất nhập khẩu. Kiểm tra tính hợp lệ của bộ chứng từ. Chuẩn bị các thủ tục cần thiết để xuất, nhập khẩu hàng hóa: lập bộ chứng từ khai hải quan hàng xuất, nhập khẩu, lập bộ chứng từ, nộp và lấy kết quả xin cấp C/O, lập bộ chứng từ thanh toán xuất nhập khẩu, hồ sơ xin cấp phép (đối với hàng yêu cầu phải có giấy phép), hồ sơ xin đăng ký chất lượng (đối với một số mặt hàng), các công văn tờ trình cho các bên có liên quan.... Theo dõi nguyên phụ liệu tồn của loại hình gia công, sản xuất xuất khẩu. Lập báo cáo gửi khách hàng theo định kỳ. Theo dõi lịch hàng nhập, ngày tàu đi, tàu đến, xin trước lưu cont, lưu bãi. Giao dịch và liên hệ với các nhà cung cấp và khách hàng về lịch chuyển hàng và giao nhận hàng Kiểm tra thủ tục, cách thức thực hiện nghiệp vụ đặc biệt cho các phòng ban liên quan theo chỉ định của cấp quản lý trực tiếp. Thường xuyên cập nhật báo cáo công việc đến Cấp quản lý trực tiếp theo chu kỳ quy định. Cập nhật, theo dõi thông tư, nghị định mới của ngành. Cập nhật, kiểm tra, tìm hiểu nguyên nhân khi khách hàng có dấu hiệu giảm dùng dịch vụ của công ty. Tiến hành và kiểm tra việc lưu chứng từ của các khách hàng phụ trách. Lên kế hoạch, sắp xếp, theo dõi công việc do mình phụ trách. Chia sẻ công việc, hỗ trợ đồng nghiệp hoàn tất công việc của phòng. Làm các báo cáo theo yêu cầu của Cấp quản lý trực tiếp và Trưởng phó phòng. Thực hiện các công việc khác theo sự phân công của Cấp quản lý trực tiếp và Trưởng phó","405/15 Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh","13500000","1 năm","Toàn thời gian","584257f0-6117-4293-902d-c890fcf4bc73","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","Thành phố Hồ Chí Minh","Kinh doanh | Logistics","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743824386/091145111_1646104735495-logo-nen-cam_cpuv9w.jpg"
"089fb97c-ce10-4658-b594-94474308bb13","Lập trình viên điện toán đám mây AWS","Xây dựng và phát triển hệ thống backend sử dụng dịch vụ AWS như Lambda, S3; triển khai các tính năng mới và phối hợp nhóm thông qua công cụ làm việc từ xa.","TT02-15 Dự án Hải Đăng city, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội","27000000","1 năm","Từ xa","11e2d6cb-23df-4b4d-ae61-3e2a7f47c93e","CÔNG TY CỔ PHẦN TẬP ĐOÀN HVN","Hà Nội","IT phần mềm","2025-04-02T15:30","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743519810/hvn_uqg6w8.png"
"09b738ba-b1a6-4905-bca7-670278786221","Điều phối viên kho và vận tải","Lên kế hoạch cho lịch xe vận chuyển, giám sát quá trình xuất nhập hàng, bảo đảm hàng hóa được giao đúng địa điểm, đúng thời gian và trong tình trạng nguyên vẹn.","405/15 Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh","18000000","1 năm","Toàn thời gian","584257f0-6117-4293-902d-c890fcf4bc73","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","Thành phố Hồ Chí Minh","Logistics","2025-04-01T08:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743824386/091145111_1646104735495-logo-nen-cam_cpuv9w.jpg"
"0b2574e1-8ec7-4c99-b518-083190ad3202","Lập trình viên backend với Spring Boot","Tham gia phát triển hệ thống phần mềm phía server, sử dụng Spring Framework, tích hợp cơ sở dữ liệu và đảm bảo hiệu suất cũng như bảo trì hệ thống hiệu quả.","Lô T412-413 Tầng 4 Tòa nhà Artemis số 03 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội","24000000","1 năm","Toàn thời gian","7b446653-1ea4-40bb-80f9-519ef109df3e","CÔNG TY TNHH DCOM EXPRESS","Hà Nội","IT phần mềm","2025-04-02T14:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743515761/5876660_vieclam24h_1582768389_f7rbmz.png"
"0ee608e1-dbeb-4d54-bc78-9080a9f32d34","Kỹ sư phần mềm Java","Xây dựng và triển khai hệ thống bằng Java, xử lý logic nghiệp vụ, tích hợp các API bên ngoài, làm việc nhóm và thực hiện kiểm tra mã nguồn định kỳ.","Tầng 6 Toà nhà Đồng Lợi số 2+4 ngõ 1160 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội","25000000","1 năm","Toàn thời gian","ae251f6a-3894-4811-9af1-33de158d2e03","CÔNG TY CỔ PHẦN INFINITY TECHNOLOGIES GLOBAL","Hà Nội","IT phần mềm","2025-04-02T23:00","2025-11-15T00:00","https://res.cloudinary.com/ddqygrb0g/image/upload/v1743519994/1687229099087_set4mh.jpg"
